RELATORIO CONVERGENCIA IEEE 30 ANAREDE (PWF TCC)
NUM    STATUS         PASSO            LAMBDA           MW
58     Convergente    0.00200          1.1160           316.27
59     Convergente    0.00200          1.1180           316.84
60     Convergente    0.00200          1.1200           317.41
61     Convergente    0.00200          1.1220           317.97
62     Convergente    0.00200          1.1240           318.54
63     Convergente    0.00200          1.1260           319.11
64     Convergente    0.00200          1.1280           319.68
65     Convergente    0.00200          1.1300           320.24
66     Convergente    0.00200          1.1320           320.81
67     Convergente    0.00200          1.1340           321.38
68     Convergente    0.00200          1.1360           321.94
69     Convergente    0.00200          1.1380           322.51
70     Convergente    0.00200          1.1400           323.08
71     Convergente    0.00200          1.1420           323.64
72     Convergente    0.00200          1.1440           324.21
73     Convergente    0.00200          1.1460           324.78
74     Convergente    0.00200          1.1480           325.34
75     Convergente    0.00200          1.1500           325.91
76     Convergente    0.00200          1.1520           326.48
77     Convergente    0.00200          1.1540           327.04
78     Convergente    0.00200          1.1560           327.61
79     Convergente    0.00200          1.1580           328.18
80     Convergente    0.00200          1.1600           328.74
81     Convergente    0.00200          1.1620           329.31
82     Convergente    0.00200          1.1640           329.88
83     Convergente    0.00200          1.1660           330.44
84     Convergente    0.00200          1.1680           331.01
85     Convergente    0.00200          1.1700           331.58
86     Convergente    0.00200          1.1720           332.14
87     Convergente    0.00200          1.1740           332.71
88     Convergente    0.00200          1.1760           333.28
89     Convergente    0.00200          1.1780           333.85
90     Convergente    0.00200          1.1800           334.41
91     Convergente    0.00200          1.1820           334.98
92     Convergente    0.00200          1.1840           335.55
93     Convergente    0.00200          1.1860           336.11
94     Convergente    0.00200          1.1880           336.68
95     Convergente    0.00200          1.1900           337.25
96     Convergente    0.00200          1.1920           337.81
97     Convergente    0.00200          1.1940           338.38
98     Convergente    0.00200          1.1960           338.95
99     Convergente    0.00200          1.1980           339.51
100    Convergente    0.00200          1.2000           340.08
101    Convergente    0.00200          1.2020           340.65
102    Convergente    0.00200          1.2040           341.21
103    Convergente    0.00200          1.2060           341.78
104    Convergente    0.00200          1.2080           342.35
105    Convergente    0.00200          1.2100           342.91
106    Convergente    0.00200          1.2120           343.48
107    Convergente    0.00200          1.2140           344.05
108    Convergente    0.00200          1.2160           344.61
109    Convergente    0.00200          1.2180           345.18
110    Convergente    0.00200          1.2200           345.75
111    Convergente    0.00200          1.2220           346.31
112    Convergente    0.00200          1.2240           346.88
113    Convergente    0.00200          1.2260           347.45
114    Convergente    0.00200          1.2280           348.02
115    Convergente    0.00200          1.2300           348.58
116    Convergente    0.00200          1.2320           349.15
117    Convergente    0.00200          1.2340           349.72
118    Convergente    0.00200          1.2360           350.28
119    Convergente    0.00200          1.2380           350.85
120    Convergente    0.00200          1.2400           351.42
121    Convergente    0.00200          1.2420           351.98
122    Convergente    0.00200          1.2440           352.55
123    Convergente    0.00200          1.2460           353.12
124    Convergente    0.00200          1.2480           353.68
125    Convergente    0.00200          1.2500           354.25
126    Convergente    0.00200          1.2520           354.82
127    Convergente    0.00200          1.2540           355.38
128    Convergente    0.00200          1.2560           355.95
129    Convergente    0.00200          1.2580           356.52
130    Convergente    0.00200          1.2600           357.08
131    Convergente    0.00200          1.2620           357.65
132    Convergente    0.00200          1.2640           358.22
133    Convergente    0.00200          1.2660           358.78
134    Convergente    0.00200          1.2680           359.35
135    Convergente    0.00200          1.2700           359.92
136    Convergente    0.00200          1.2720           360.48
137    Convergente    0.00200          1.2740           361.05
138    Convergente    0.00200          1.2760           361.62
139    Convergente    0.00200          1.2780           362.19
140    Convergente    0.00200          1.2800           362.75
141    Convergente    0.00200          1.2820           363.32
142    Convergente    0.00200          1.2840           363.89
143    Convergente    0.00200          1.2860           364.45
144    Convergente    0.00200          1.2880           365.02
145    Convergente    0.00200          1.2900           365.59
146    Convergente    0.00200          1.2920           366.15
147    Convergente    0.00200          1.2940           366.72
148    Convergente    0.00200          1.2960           367.29
149    Convergente    0.00200          1.2980           367.85
150    Convergente    0.00200          1.3000           368.42
151    Convergente    0.00200          1.3020           368.99
152    Convergente    0.00200          1.3040           369.55
153    Convergente    0.00200          1.3060           370.12
154    Convergente    0.00200          1.3080           370.69
155    Convergente    0.00200          1.3100           371.25
156    Convergente    0.00200          1.3120           371.82
157    Convergente    0.00200          1.3140           372.39
158    Convergente    0.00200          1.3160           372.95
159    Convergente    0.00200          1.3180           373.52
160    Convergente    0.00200          1.3200           374.09
161    Convergente    0.00200          1.3220           374.65
162    Convergente    0.00200          1.3240           375.22
163    Convergente    0.00200          1.3260           375.79
164    Convergente    0.00200          1.3280           376.36
165    Convergente    0.00200          1.3300           376.92
166    Convergente    0.00200          1.3320           377.49
167    Convergente    0.00200          1.3340           378.06
168    Convergente    0.00200          1.3360           378.62
169    Convergente    0.00200          1.3380           379.19
170    Convergente    0.00200          1.3400           379.76
171    Convergente    0.00200          1.3420           380.32
172    Convergente    0.00200          1.3440           380.89
173    Convergente    0.00200          1.3460           381.46
174    Convergente    0.00200          1.3480           382.02
175    Convergente    0.00200          1.3500           382.59
176    Convergente    0.00200          1.3520           383.16
177    Convergente    0.00200          1.3540           383.72
178    Convergente    0.00200          1.3560           384.29
179    Convergente    0.00200          1.3580           384.86
180    Convergente    0.00200          1.3600           385.42
181    Convergente    0.00200          1.3620           385.99
182    Convergente    0.00200          1.3640           386.56
183    Convergente    0.00200          1.3660           387.12
184    Convergente    0.00200          1.3680           387.69
185    Convergente    0.00200          1.3700           388.26
186    Convergente    0.00200          1.3720           388.82
187    Convergente    0.00200          1.3740           389.39
188    Convergente    0.00200          1.3760           389.96
189    Convergente    0.00200          1.3780           390.53
190    Convergente    0.00200          1.3800           391.09
191    Convergente    0.00200          1.3820           391.66
192    Convergente    0.00200          1.3840           392.23
193    Convergente    0.00200          1.3860           392.79
194    Convergente    0.00200          1.3880           393.36
195    Convergente    0.00200          1.3900           393.93
196    Convergente    0.00200          1.3920           394.49
197    Convergente    0.00200          1.3940           395.06
198    Convergente    0.00200          1.3960           395.63
199    Convergente    0.00200          1.3980           396.19
200    Convergente    0.00200          1.4000           396.76
201    Convergente    0.00200          1.4020           397.33
202    Convergente    0.00200          1.4040           397.89
203    Convergente    0.00200          1.4060           398.46
204    Convergente    0.00200          1.4080           399.03
205    Convergente    0.00200          1.4100           399.59
206    Convergente    0.00200          1.4120           400.16
207    Convergente    0.00200          1.4140           400.73
208    Convergente    0.00200          1.4160           401.29
209    Convergente    0.00200          1.4180           401.86
210    Convergente    0.00200          1.4200           402.43
211    Convergente    0.00200          1.4220           402.99
212    Convergente    0.00200          1.4240           403.56
213    Convergente    0.00200          1.4260           404.13
214    Convergente    0.00200          1.4280           404.70
215    Convergente    0.00200          1.4300           405.26
216    Convergente    0.00200          1.4320           405.83
217    Convergente    0.00200          1.4340           406.40
218    Convergente    0.00200          1.4360           406.96
219    Convergente    0.00200          1.4380           407.53
220    Convergente    0.00200          1.4400           408.10
221    Convergente    0.00200          1.4420           408.66
222    Convergente    0.00200          1.4440           409.23
223    Convergente    0.00200          1.4460           409.80
224    Convergente    0.00200          1.4480           410.36
225    Convergente    0.00200          1.4500           410.93
226    Convergente    0.00200          1.4520           411.50
227    Convergente    0.00200          1.4540           412.06
228    Convergente    0.00200          1.4560           412.63
229    Convergente    0.00200          1.4580           413.20
230    Convergente    0.00200          1.4600           413.76
231    Convergente    0.00200          1.4620           414.33
232    Convergente    0.00200          1.4640           414.90
233    Convergente    0.00200          1.4660           415.46
234    Convergente    0.00200          1.4680           416.03
235    Convergente    0.00200          1.4700           416.60
236    Convergente    0.00200          1.4720           417.16
237    Convergente    0.00200          1.4740           417.73
238    Convergente    0.00200          1.4760           418.30
239    Convergente    0.00200          1.4780           418.87
240    Convergente    0.00200          1.4800           419.43
241    Convergente    0.00200          1.4820           420.00
242    Convergente    0.00200          1.4840           420.57
243    Convergente    0.00200          1.4860           421.13
244    Convergente    0.00200          1.4880           421.70
245    Convergente    0.00200          1.4900           422.27
246    Convergente    0.00200          1.4920           422.83
247    Convergente    0.00200          1.4940           423.40
248    Convergente    0.00200          1.4960           423.97
249    Convergente    0.00200          1.4980           424.53
250    Convergente    0.00200          1.5000           425.10
251    Convergente    0.00200          1.5020           425.67
252    Convergente    0.00200          1.5040           426.23
253    Convergente    0.00200          1.5060           426.80
254    Convergente    0.00200          1.5080           427.37
255    Convergente    0.00200          1.5100           427.93
256    Convergente    0.00200          1.5120           428.50
257    Convergente    0.00200          1.5140           429.07
258    Convergente    0.00200          1.5160           429.63
259    Convergente    0.00200          1.5180           430.20
260    Convergente    0.00200          1.5200           430.77
261    Convergente    0.00200          1.5220           431.33
262    Convergente    0.00200          1.5240           431.90
263    Convergente    0.00200          1.5260           432.47
264    Convergente    0.00200          1.5280           433.04
265    Convergente    0.00200          1.5300           433.60
266    Convergente    0.00200          1.5320           434.17
267    Convergente    0.00200          1.5340           434.74
268    Convergente    0.00200          1.5360           435.30
269    Convergente    0.00200          1.5380           435.87
270    Convergente    0.00200          1.5400           436.44
271    Convergente    0.00200          1.5420           437.00
272    Convergente    0.00200          1.5440           437.57
273    Convergente    0.00200          1.5460           438.14
274    Convergente    0.00200          1.5480           438.70
275    Convergente    0.00200          1.5500           439.27
276    Convergente    0.00200          1.5520           439.84
277    Convergente    0.00200          1.5540           440.40
278    Convergente    0.00200          1.5560           440.97
279    Convergente    0.00200          1.5580           441.54
280    Convergente    0.00200          1.5600           442.10
281    Convergente    0.00200          1.5620           442.67
282    Convergente    0.00200          1.5640           443.24
283    Convergente    0.00200          1.5660           443.80
284    Convergente    0.00200          1.5680           444.37
285    Convergente    0.00200          1.5700           444.94
286    Convergente    0.00200          1.5720           445.50
287    Convergente    0.00200          1.5740           446.07
288    Convergente    0.00200          1.5760           446.64
289    Convergente    0.00200          1.5780           447.21
290    Convergente    0.00200          1.5800           447.77
291    Convergente    0.00200          1.5820           448.34
292    Convergente    0.00200          1.5840           448.91
293    Convergente    0.00200          1.5860           449.47
294    Convergente    0.00200          1.5880           450.04
295    Convergente    0.00200          1.5900           450.61
296    Convergente    0.00200          1.5920           451.17
297    Convergente    0.00200          1.5940           451.74
298    Convergente    0.00200          1.5960           452.31
299    Convergente    0.00200          1.5980           452.87
300    Convergente    0.00200          1.6000           453.44
301    Convergente    0.00200          1.6020           454.01
302    Convergente    0.00200          1.6040           454.57
303    Convergente    0.00200          1.6060           455.14
304    Convergente    0.00200          1.6080           455.71
305    Convergente    0.00200          1.6100           456.27
306    Convergente    0.00200          1.6120           456.84
307    Convergente    0.00200          1.6140           457.41
308    Convergente    0.00200          1.6160           457.97
309    Convergente    0.00200          1.6180           458.54
310    Convergente    0.00200          1.6200           459.11
311    Convergente    0.00200          1.6220           459.67
312    Convergente    0.00200          1.6240           460.24
313    Convergente    0.00200          1.6260           460.81
314    Convergente    0.00200          1.6280           461.38
315    Convergente    0.00200          1.6300           461.94
316    Convergente    0.00200          1.6320           462.51
317    Convergente    0.00200          1.6340           463.08
318    Convergente    0.00200          1.6360           463.64
319    Convergente    0.00200          1.6380           464.21
320    Convergente    0.00200          1.6400           464.78
321    Convergente    0.00200          1.6420           465.34
322    Convergente    0.00200          1.6440           465.91
323    Convergente    0.00200          1.6460           466.48
324    Convergente    0.00200          1.6480           467.04
325    Convergente    0.00200          1.6500           467.61
326    Convergente    0.00200          1.6520           468.18
327    Convergente    0.00200          1.6540           468.74
328    Convergente    0.00200          1.6560           469.31
329    Convergente    0.00200          1.6580           469.88
330    Convergente    0.00200          1.6600           470.44
331    Convergente    0.00200          1.6620           471.01
332    Convergente    0.00200          1.6640           471.58
333    Convergente    0.00200          1.6660           472.14
334    Convergente    0.00200          1.6680           472.71
335    Convergente    0.00200          1.6700           473.28
336    Convergente    0.00200          1.6720           473.84
337    Convergente    0.00200          1.6740           474.41
338    Convergente    0.00200          1.6760           474.98
339    Convergente    0.00200          1.6780           475.55
340    Convergente    0.00200          1.6800           476.11
341    Convergente    0.00200          1.6820           476.68
342    Convergente    0.00200          1.6840           477.25
343    Convergente    0.00200          1.6860           477.81
344    Convergente    0.00200          1.6880           478.38
345    Convergente    0.00200          1.6900           478.95
346    Convergente    0.00200          1.6920           479.51
347    Convergente    0.00200          1.6940           480.08
348    Convergente    0.00200          1.6960           480.65
349    Convergente    0.00200          1.6980           481.21
350    Convergente    0.00200          1.7000           481.78
351    Convergente    0.00200          1.7020           482.35
352    Convergente    0.00200          1.7040           482.91
353    Convergente    0.00200          1.7060           483.48
354    Convergente    0.00200          1.7080           484.05
355    Convergente    0.00200          1.7100           484.61
356    Convergente    0.00200          1.7120           485.18
357    Convergente    0.00200          1.7140           485.75
358    Convergente    0.00200          1.7160           486.31
359    Convergente    0.00200          1.7180           486.88
360    Convergente    0.00200          1.7200           487.45
361    Convergente    0.00200          1.7220           488.01
362    Convergente    0.00200          1.7240           488.58
363    Convergente    0.00200          1.7260           489.15
364    Convergente    0.00200          1.7280           489.72
365    Convergente    0.00200          1.7300           490.28
366    Convergente    0.00200          1.7320           490.85
367    Convergente    0.00200          1.7340           491.42
368    Convergente    0.00200          1.7360           491.98
369    Convergente    0.00200          1.7380           492.55
370    Convergente    0.00200          1.7400           493.12
371    Convergente    0.00200          1.7420           493.68
372    Convergente    0.00200          1.7440           494.25
373    Convergente    0.00200          1.7460           494.82
374    Convergente    0.00200          1.7480           495.38
375    Convergente    0.00200          1.7500           495.95
376    Convergente    0.00200          1.7520           496.52
377    Convergente    0.00200          1.7540           497.08
378    Convergente    0.00200          1.7560           497.65
379    Convergente    0.00200          1.7580           498.22
380    Convergente    0.00200          1.7600           498.78
381    Convergente    0.00200          1.7620           499.35
382    Convergente    0.00200          1.7640           499.92
383    Convergente    0.00200          1.7660           500.48
384    Convergente    0.00200          1.7680           501.05
385    Convergente    0.00200          1.7700           501.62
386    Convergente    0.00200          1.7720           502.18
387    Convergente    0.00200          1.7740           502.75
388    Convergente    0.00200          1.7760           503.32
389    Convergente    0.00200          1.7780           503.89
390    Convergente    0.00200          1.7800           504.45
391    Convergente    0.00200          1.7820           505.02
392    Convergente    0.00200          1.7840           505.59
393    Convergente    0.00200          1.7860           506.15
394    Convergente    0.00200          1.7880           506.72
395    Convergente    0.00200          1.7900           507.29
396    Convergente    0.00200          1.7920           507.85
397    Convergente    0.00200          1.7940           508.42
398    Convergente    0.00200          1.7960           508.99
399    Convergente    0.00200          1.7980           509.55
400    Convergente    0.00200          1.8000           510.12
401    Convergente    0.00200          1.8020           510.69
402    Convergente    0.00200          1.8040           511.25
403    Convergente    0.00200          1.8060           511.82
404    Convergente    0.00200          1.8080           512.39
405    Convergente    0.00200          1.8100           512.95
406    Convergente    0.00200          1.8120           513.52
407    Convergente    0.00200          1.8140           514.09
408    Convergente    0.00200          1.8160           514.65
409    Convergente    0.00200          1.8180           515.22
410    Convergente    0.00200          1.8200           515.79
411    Convergente    0.00200          1.8220           516.35
412    Convergente    0.00200          1.8240           516.92
413    Convergente    0.00200          1.8260           517.49
414    Convergente    0.00200          1.8280           518.06
415    Convergente    0.00200          1.8300           518.62
416    Convergente    0.00200          1.8320           519.19
417    Convergente    0.00200          1.8340           519.76
418    Convergente    0.00200          1.8360           520.32
419    Convergente    0.00200          1.8380           520.89
420    Convergente    0.00200          1.8400           521.46
421    Convergente    0.00200          1.8420           522.02
422    Convergente    0.00200          1.8440           522.59
423    Convergente    0.00200          1.8460           523.16
424    Convergente    0.00200          1.8480           523.72
425    Convergente    0.00200          1.8500           524.29
426    Convergente    0.00200          1.8520           524.86
427    Convergente    0.00200          1.8540           525.42
428    Convergente    0.00200          1.8560           525.99
429    Convergente    0.00200          1.8580           526.56
430    Convergente    0.00200          1.8600           527.12
431    Convergente    0.00200          1.8620           527.69
432    Convergente    0.00200          1.8640           528.26
433    Convergente    0.00200          1.8660           528.82
434    Convergente    0.00200          1.8680           529.39
435    Convergente    0.00200          1.8700           529.96
436    Convergente    0.00200          1.8720           530.52
437    Convergente    0.00200          1.8740           531.09
438    Convergente    0.00200          1.8760           531.66
439    Convergente    0.00200          1.8780           532.23
440    Convergente    0.00200          1.8800           532.79
441    Convergente    0.00200          1.8820           533.36
442    Convergente    0.00200          1.8840           533.93
443    Convergente    0.00200          1.8860           534.49
444    Convergente    0.00200          1.8880           535.06
445    Convergente    0.00200          1.8900           535.63
446    Convergente    0.00200          1.8920           536.19
447    Convergente    0.00200          1.8940           536.76
448    Convergente    0.00200          1.8960           537.33
449    Convergente    0.00200          1.8980           537.89
450    Convergente    0.00200          1.9000           538.46
451    Convergente    0.00200          1.9020           539.03
452    Convergente    0.00200          1.9040           539.59
453    Convergente    0.00200          1.9060           540.16
454    Convergente    0.00200          1.9080           540.73
455    Convergente    0.00200          1.9100           541.29
456    Convergente    0.00200          1.9120           541.86
457    Convergente    0.00200          1.9140           542.43
458    Convergente    0.00200          1.9160           542.99
459    Convergente    0.00200          1.9180           543.56
460    Convergente    0.00200          1.9200           544.13
461    Convergente    0.00200          1.9220           544.69
462    Convergente    0.00200          1.9240           545.26
463    Convergente    0.00200          1.9260           545.83
464    Convergente    0.00200          1.9280           546.40
465    Convergente    0.00200          1.9300           546.96
466    Convergente    0.00200          1.9320           547.53
467    Convergente    0.00200          1.9340           548.10
468    Convergente    0.00200          1.9360           548.66
469    Convergente    0.00200          1.9380           549.23
470    Convergente    0.00200          1.9400           549.80
471    Convergente    0.00200          1.9420           550.36
472    Convergente    0.00200          1.9440           550.93
473    Convergente    0.00200          1.9460           551.50
474    Convergente    0.00200          1.9480           552.06
475    Convergente    0.00200          1.9500           552.63
476    Convergente    0.00200          1.9520           553.20
477    Convergente    0.00200          1.9540           553.76
478    Convergente    0.00200          1.9560           554.33
479    Convergente    0.00200          1.9580           554.90
480    Convergente    0.00200          1.9600           555.46
481    Convergente    0.00200          1.9620           556.03
482    Convergente    0.00200          1.9640           556.60
483    Convergente    0.00200          1.9660           557.16
484    Convergente    0.00200          1.9680           557.73
485    Convergente    0.00200          1.9700           558.30
486    Convergente    0.00200          1.9720           558.86
487    Convergente    0.00200          1.9740           559.43
488    Convergente    0.00200          1.9760           560.00
489    Convergente    0.00200          1.9780           560.57
490    Convergente    0.00200          1.9800           561.13
491    Convergente    0.00200          1.9820           561.70
492    Convergente    0.00200          1.9840           562.27
493    Convergente    0.00200          1.9860           562.83
494    Convergente    0.00200          1.9880           563.40
495    Convergente    0.00200          1.9900           563.97
496    Convergente    0.00200          1.9920           564.53
497    Convergente    0.00200          1.9940           565.10
498    Convergente    0.00200          1.9960           565.67
499    Convergente    0.00200          1.9980           566.23
500    Convergente    0.00200          2.0000           566.80
501    Convergente    0.00200          2.0020           567.37
502    Convergente    0.00200          2.0040           567.93
503    Convergente    0.00200          2.0060           568.50
504    Convergente    0.00200          2.0080           569.07
505    Convergente    0.00200          2.0100           569.63
506    Convergente    0.00200          2.0120           570.20
507    Convergente    0.00200          2.0140           570.77
508    Convergente    0.00200          2.0160           571.33
509    Convergente    0.00200          2.0180           571.90
510    Convergente    0.00200          2.0200           572.47
511    Convergente    0.00200          2.0220           573.03
512    Convergente    0.00200          2.0240           573.60
513    Convergente    0.00200          2.0260           574.17
514    Convergente    0.00200          2.0280           574.74
515    Convergente    0.00200          2.0300           575.30
516    Convergente    0.00200          2.0320           575.87
517    Convergente    0.00200          2.0340           576.44
518    Convergente    0.00200          2.0360           577.00
519    Convergente    0.00200          2.0380           577.57
520    Convergente    0.00200          2.0400           578.14
521    Convergente    0.00200          2.0420           578.70
522    Convergente    0.00200          2.0440           579.27
523    Convergente    0.00200          2.0460           579.84
524    Convergente    0.00200          2.0480           580.40
525    Convergente    0.00200          2.0500           580.97
526    Convergente    0.00200          2.0520           581.54
527    Convergente    0.00200          2.0540           582.10
528    Convergente    0.00200          2.0560           582.67
529    Convergente    0.00200          2.0580           583.24
530    Convergente    0.00200          2.0600           583.80
531    Convergente    0.00200          2.0620           584.37
532    Convergente    0.00200          2.0640           584.94
533    Convergente    0.00200          2.0660           585.50
534    Convergente    0.00200          2.0680           586.07
535    Convergente    0.00200          2.0700           586.64
536    Convergente    0.00200          2.0720           587.20
537    Convergente    0.00200          2.0740           587.77
538    Convergente    0.00200          2.0760           588.34
539    Convergente    0.00200          2.0780           588.91
540    Convergente    0.00200          2.0800           589.47
541    Convergente    0.00200          2.0820           590.04
542    Convergente    0.00200          2.0840           590.61
543    Convergente    0.00200          2.0860           591.17
544    Convergente    0.00200          2.0880           591.74
545    Convergente    0.00200          2.0900           592.31
546    Convergente    0.00200          2.0920           592.87
547    Convergente    0.00200          2.0940           593.44
548    Convergente    0.00200          2.0960           594.01
549    Convergente    0.00200          2.0980           594.57
550    Convergente    0.00200          2.1000           595.14
551    Convergente    0.00200          2.1020           595.71
552    Convergente    0.00200          2.1040           596.27
553    Convergente    0.00200          2.1060           596.84
554    Convergente    0.00200          2.1080           597.41
555    Convergente    0.00200          2.1100           597.97
556    Convergente    0.00200          2.1120           598.54
557    Convergente    0.00200          2.1140           599.11
558    Convergente    0.00200          2.1160           599.67
559    Convergente    0.00200          2.1180           600.24
560    Convergente    0.00200          2.1200           600.81
561    Convergente    0.00200          2.1220           601.37
562    Convergente    0.00200          2.1240           601.94
563    Convergente    0.00200          2.1260           602.51
564    Convergente    0.00200          2.1280           603.08
565    Convergente    0.00200          2.1300           603.64
566    Convergente    0.00200          2.1320           604.21
567    Convergente    0.00200          2.1340           604.78
568    Convergente    0.00200          2.1360           605.34
569    Convergente    0.00200          2.1380           605.91
570    Convergente    0.00200          2.1400           606.48
571    Convergente    0.00200          2.1420           607.04
572    Convergente    0.00200          2.1440           607.61
573    Convergente    0.00200          2.1460           608.18
574    Convergente    0.00200          2.1480           608.74
575    Convergente    0.00200          2.1500           609.31
576    Convergente    0.00200          2.1520           609.88
577    Convergente    0.00200          2.1540           610.44
578    Convergente    0.00200          2.1560           611.01
579    Convergente    0.00200          2.1580           611.58
580    Convergente    0.00200          2.1600           612.14
581    Convergente    0.00200          2.1620           612.71
582    Convergente    0.00200          2.1640           613.28
583    Convergente    0.00200          2.1660           613.84
584    Convergente    0.00200          2.1680           614.41
585    Convergente    0.00200          2.1700           614.98
586    Convergente    0.00200          2.1720           615.54
587    Convergente    0.00200          2.1740           616.11
588    Convergente    0.00200          2.1760           616.68
589    Convergente    0.00200          2.1780           617.25
590    Convergente    0.00200          2.1800           617.81
591    Convergente    0.00200          2.1820           618.38
592    Convergente    0.00200          2.1840           618.95
593    Convergente    0.00200          2.1860           619.51
594    Convergente    0.00200          2.1880           620.08
595    Convergente    0.00200          2.1900           620.65
596    Convergente    0.00200          2.1920           621.21
597    Convergente    0.00200          2.1940           621.78
598    Convergente    0.00200          2.1960           622.35
599    Convergente    0.00200          2.1980           622.91
600    Convergente    0.00200          2.2000           623.48
601    Convergente    0.00200          2.2020           624.05
602    Convergente    0.00200          2.2040           624.61
603    Convergente    0.00200          2.2060           625.18
604    Convergente    0.00200          2.2080           625.75
605    Convergente    0.00200          2.2100           626.31
606    Convergente    0.00200          2.2120           626.88
607    Convergente    0.00200          2.2140           627.45
608    Convergente    0.00200          2.2160           628.01
609    Convergente    0.00200          2.2180           628.58
610    Convergente    0.00200          2.2200           629.15
611    Convergente    0.00200          2.2220           629.71
612    Convergente    0.00200          2.2240           630.28
613    Convergente    0.00200          2.2260           630.85
614    Convergente    0.00200          2.2280           631.42
615    Convergente    0.00200          2.2300           631.98
616    Convergente    0.00200          2.2320           632.55
617    Convergente    0.00200          2.2340           633.12
618    Convergente    0.00200          2.2360           633.68
619    Convergente    0.00200          2.2380           634.25
620    Convergente    0.00200          2.2400           634.82
621    Convergente    0.00200          2.2420           635.38
622    Convergente    0.00200          2.2440           635.95
623    Convergente    0.00200          2.2460           636.52
624    Convergente    0.00200          2.2480           637.08
625    Convergente    0.00200          2.2500           637.65
626    Convergente    0.00200          2.2520           638.22
627    Convergente    0.00200          2.2540           638.78
628    Convergente    0.00200          2.2560           639.35
629    Convergente    0.00200          2.2580           639.92
630    Convergente    0.00200          2.2600           640.48
631    Convergente    0.00200          2.2620           641.05
632    Convergente    0.00200          2.2640           641.62
633    Convergente    0.00200          2.2660           642.18
634    Convergente    0.00200          2.2680           642.75
635    Convergente    0.00200          2.2700           643.32
636    Convergente    0.00200          2.2720           643.88
637    Convergente    0.00200          2.2740           644.45
638    Convergente    0.00200          2.2760           645.02
639    Convergente    0.00200          2.2780           645.59
640    Convergente    0.00200          2.2800           646.15
641    Convergente    0.00200          2.2820           646.72
642    Convergente    0.00200          2.2840           647.29
643    Convergente    0.00200          2.2860           647.85
644    Convergente    0.00200          2.2880           648.42
645    Convergente    0.00200          2.2900           648.99
646    Convergente    0.00200          2.2920           649.55
647    Convergente    0.00200          2.2940           650.12
648    Convergente    0.00200          2.2960           650.69
649    Convergente    0.00200          2.2980           651.25
650    Convergente    0.00200          2.3000           651.82
651    Convergente    0.00200          2.3020           652.39
652    Convergente    0.00200          2.3040           652.95
653    Convergente    0.00200          2.3060           653.52
654    Convergente    0.00200          2.3080           654.09
655    Convergente    0.00200          2.3100           654.65
656    Convergente    0.00200          2.3120           655.22
657    Convergente    0.00200          2.3140           655.79
658    Convergente    0.00200          2.3160           656.35
659    Convergente    0.00200          2.3180           656.92
