
====================================================================================================
RELATORIO DE EXECUCAO DO FLUXO DE POTENCIA CONTINUADO (CONVERGENCIA)
SISTEMA: IEEE 30 BARRAS
DATA: 20/11/2025 19:18:25
====================================================================================================

NUM.    STATUS          PASSO (LAMBDA)    CARGA TOTAL (MW)    CARGA TOTAL (Mvar)    TENSAO MIN (PU)
102     Convergente     1.2020            201.65              124.38                0.9514
103     Convergente     1.2040            201.99              124.63                0.9513
104     Convergente     1.2060            202.34              124.88                0.9513
105     Convergente     1.2080            202.68              125.14                0.9512
106     Convergente     1.2100            203.02              125.39                0.9511
107     Convergente     1.2120            203.37              125.65                0.9510
108     Convergente     1.2140            203.71              125.90                0.9509
109     Convergente     1.2160            204.05              126.15                0.9508
110     Convergente     1.2180            204.40              126.41                0.9507
111     Convergente     1.2200            204.74              126.66                0.9506
112     Convergente     1.2220            205.09              126.92                0.9505
113     Convergente     1.2240            205.43              127.17                0.9504
114     Convergente     1.2260            205.77              127.42                0.9503
115     Convergente     1.2280            206.12              127.68                0.9502
116     Convergente     1.2300            206.46              127.93                0.9501
117     Convergente     1.2320            206.80              128.19                0.9500
118     Convergente     1.2340            207.15              128.44                0.9499
119     Convergente     1.2360            207.49              128.70                0.9498
120     Convergente     1.2380            207.84              128.95                0.9497
121     Convergente     1.2400            208.18              129.21                0.9497
122     Convergente     1.2420            208.52              129.46                0.9496
123     Convergente     1.2440            208.87              129.72                0.9495
124     Convergente     1.2460            209.21              129.97                0.9494
125     Convergente     1.2480            209.56              130.23                0.9493
126     Convergente     1.2500            209.90              130.49                0.9492
127     Convergente     1.2520            210.24              130.74                0.9491
128     Convergente     1.2540            210.59              131.00                0.9490
129     Convergente     1.2560            210.93              131.25                0.9489
130     Convergente     1.2580            211.28              131.51                0.9488
131     Convergente     1.2600            211.62              131.77                0.9487
132     Convergente     1.2620            211.96              132.02                0.9486
133     Convergente     1.2640            212.31              132.28                0.9485
134     Convergente     1.2660            212.65              132.53                0.9484
135     Convergente     1.2680            213.00              132.79                0.9483
136     Convergente     1.2700            213.34              133.05                0.9482
137     Convergente     1.2720            213.69              133.30                0.9481
138     Convergente     1.2740            214.03              133.56                0.9480
139     Convergente     1.2760            214.38              133.82                0.9480
140     Convergente     1.2780            214.72              134.07                0.9479
141     Convergente     1.2800            215.06              134.33                0.9478
142     Convergente     1.2820            215.41              134.59                0.9477
143     Convergente     1.2840            215.75              134.85                0.9476
144     Convergente     1.2860            216.10              135.10                0.9475
145     Convergente     1.2880            216.44              135.36                0.9474
146     Convergente     1.2900            216.79              135.62                0.9473
147     Convergente     1.2920            217.13              135.88                0.9472
148     Convergente     1.2940            217.48              136.13                0.9471
149     Convergente     1.2960            217.82              136.39                0.9470
150     Convergente     1.2980            218.17              136.65                0.9469
151     Convergente     1.3000            218.51              136.91                0.9468
152     Convergente     1.3020            218.86              137.17                0.9467
153     Convergente     1.3040            219.20              137.42                0.9466
154     Convergente     1.3060            219.55              137.68                0.9465
155     Convergente     1.3080            219.89              137.94                0.9464
156     Convergente     1.3100            220.24              138.20                0.9463
157     Convergente     1.3120            220.58              138.46                0.9462
158     Convergente     1.3140            220.93              138.72                0.9461
159     Convergente     1.3160            221.27              138.98                0.9461
160     Convergente     1.3180            221.62              139.23                0.9460
161     Convergente     1.3200            221.96              139.49                0.9459
162     Convergente     1.3220            222.31              139.75                0.9458
163     Convergente     1.3240            222.65              140.01                0.9457
164     Convergente     1.3260            223.00              140.27                0.9456
165     Convergente     1.3280            223.34              140.53                0.9455
166     Convergente     1.3300            223.69              140.79                0.9454
167     Convergente     1.3320            224.03              141.05                0.9453
168     Convergente     1.3340            224.38              141.31                0.9452
169     Convergente     1.3360            224.72              141.57                0.9451
170     Convergente     1.3380            225.07              141.83                0.9450
171     Convergente     1.3400            225.41              142.09                0.9449
172     Convergente     1.3420            225.76              142.35                0.9448
173     Convergente     1.3440            226.10              142.61                0.9447
174     Convergente     1.3460            226.45              142.87                0.9446
175     Convergente     1.3480            226.80              143.13                0.9445
176     Convergente     1.3500            227.14              143.39                0.9444
177     Convergente     1.3520            227.49              143.65                0.9443
178     Convergente     1.3540            227.83              143.91                0.9442
179     Convergente     1.3560            228.18              144.17                0.9441
180     Convergente     1.3580            228.52              144.43                0.9440
181     Convergente     1.3600            228.87              144.70                0.9439
182     Convergente     1.3620            229.21              144.96                0.9439
183     Convergente     1.3640            229.56              145.22                0.9438
184     Convergente     1.3660            229.91              145.48                0.9437
185     Convergente     1.3680            230.25              145.74                0.9436
186     Convergente     1.3700            230.60              146.00                0.9435
187     Convergente     1.3720            230.94              146.26                0.9434
188     Convergente     1.3740            231.29              146.52                0.9433
189     Convergente     1.3760            231.64              146.79                0.9432
190     Convergente     1.3780            231.98              147.05                0.9431
191     Convergente     1.3800            232.33              147.31                0.9430
192     Convergente     1.3820            232.67              147.57                0.9429
193     Convergente     1.3840            233.02              147.83                0.9428
194     Convergente     1.3860            233.37              148.10                0.9427
195     Convergente     1.3880            233.71              148.36                0.9426
196     Convergente     1.3900            234.06              148.62                0.9425
197     Convergente     1.3920            234.40              148.88                0.9424
198     Convergente     1.3940            234.75              149.15                0.9423
199     Convergente     1.3960            235.10              149.41                0.9422
200     Convergente     1.3980            235.44              149.67                0.9421
201     Convergente     1.4000            235.79              149.94                0.9420
202     Convergente     1.4020            236.14              150.20                0.9419
203     Convergente     1.4040            236.48              150.46                0.9418
204     Convergente     1.4060            236.83              150.73                0.9417
205     Convergente     1.4080            237.18              150.99                0.9416
206     Convergente     1.4100            237.52              151.25                0.9415
207     Convergente     1.4120            237.87              151.52                0.9414
208     Convergente     1.4140            238.21              151.78                0.9413
209     Convergente     1.4160            238.56              152.04                0.9413
210     Convergente     1.4180            238.91              152.31                0.9412
211     Convergente     1.4200            239.25              152.57                0.9411
212     Convergente     1.4220            239.60              152.84                0.9410
213     Convergente     1.4240            239.95              153.10                0.9409
214     Convergente     1.4260            240.29              153.36                0.9408
215     Convergente     1.4280            240.64              153.63                0.9407
216     Convergente     1.4300            240.99              153.89                0.9406
217     Convergente     1.4320            241.34              154.16                0.9405
218     Convergente     1.4340            241.68              154.42                0.9404
219     Convergente     1.4360            242.03              154.69                0.9403
220     Convergente     1.4380            242.38              154.95                0.9402
221     Convergente     1.4400            242.72              155.22                0.9401
222     Convergente     1.4420            243.07              155.48                0.9400
223     Convergente     1.4440            243.42              155.75                0.9399
224     Convergente     1.4460            243.76              156.01                0.9398
225     Convergente     1.4480            244.11              156.28                0.9397
226     Convergente     1.4500            244.46              156.54                0.9396
227     Convergente     1.4520            244.81              156.81                0.9395
228     Convergente     1.4540            245.15              157.08                0.9394
229     Convergente     1.4560            245.50              157.34                0.9393
230     Convergente     1.4580            245.85              157.61                0.9392
231     Convergente     1.4600            246.19              157.87                0.9391
232     Convergente     1.4620            246.54              158.14                0.9390
233     Convergente     1.4640            246.89              158.41                0.9389
234     Convergente     1.4660            247.24              158.67                0.9388
235     Convergente     1.4680            247.58              158.94                0.9387
236     Convergente     1.4700            247.93              159.21                0.9386
237     Convergente     1.4720            248.28              159.47                0.9385
238     Convergente     1.4740            248.63              159.74                0.9384
239     Convergente     1.4760            248.97              160.01                0.9383
240     Convergente     1.4780            249.32              160.27                0.9382
241     Convergente     1.4800            249.67              160.54                0.9381
242     Convergente     1.4820            250.02              160.81                0.9380
243     Convergente     1.4840            250.36              161.07                0.9379
244     Convergente     1.4860            250.71              161.34                0.9378
245     Convergente     1.4880            251.06              161.61                0.9377
246     Convergente     1.4900            251.41              161.88                0.9377
247     Convergente     1.4920            251.75              162.15                0.9376
248     Convergente     1.4940            252.10              162.41                0.9375
249     Convergente     1.4960            252.45              162.68                0.9374
250     Convergente     1.4980            252.80              162.95                0.9373
251     Convergente     1.5000            253.15              163.22                0.9372
252     Convergente     1.5020            253.49              163.49                0.9371
253     Convergente     1.5040            253.84              163.75                0.9370
254     Convergente     1.5060            254.19              164.02                0.9369
255     Convergente     1.5080            254.54              164.29                0.9368
256     Convergente     1.5100            254.89              164.56                0.9367
257     Convergente     1.5120            255.23              164.83                0.9366
258     Convergente     1.5140            255.58              165.10                0.9365
259     Convergente     1.5160            255.93              165.37                0.9364
260     Convergente     1.5180            256.28              165.63                0.9363
261     Convergente     1.5200            256.63              165.90                0.9362
262     Convergente     1.5220            256.98              166.17                0.9361
263     Convergente     1.5240            257.32              166.44                0.9360
264     Convergente     1.5260            257.67              166.71                0.9359
265     Convergente     1.5280            258.02              166.98                0.9358
266     Convergente     1.5300            258.37              167.25                0.9357
267     Convergente     1.5320            258.72              167.52                0.9356
268     Convergente     1.5340            259.07              167.79                0.9355
269     Convergente     1.5360            259.41              168.06                0.9354
270     Convergente     1.5380            259.76              168.33                0.9353
271     Convergente     1.5400            260.11              168.60                0.9352
272     Convergente     1.5420            260.46              168.87                0.9351
273     Convergente     1.5440            260.81              169.14                0.9350
274     Convergente     1.5460            261.16              169.41                0.9349
275     Convergente     1.5480            261.51              169.68                0.9348
276     Convergente     1.5500            261.85              169.95                0.9347
277     Convergente     1.5520            262.20              170.23                0.9346
278     Convergente     1.5540            262.55              170.50                0.9345
279     Convergente     1.5560            262.90              170.77                0.9344
280     Convergente     1.5580            263.25              171.04                0.9343
281     Convergente     1.5600            263.60              171.31                0.9342
282     Convergente     1.5620            263.95              171.58                0.9341
283     Convergente     1.5640            264.30              171.85                0.9340
284     Convergente     1.5660            264.64              172.12                0.9339
285     Convergente     1.5680            264.99              172.40                0.9338
286     Convergente     1.5700            265.34              172.67                0.9337
287     Convergente     1.5720            265.69              172.94                0.9336
288     Convergente     1.5740            266.04              173.21                0.9335
289     Convergente     1.5760            266.39              173.48                0.9334
290     Convergente     1.5780            266.74              173.76                0.9333
291     Convergente     1.5800            267.09              174.03                0.9332
292     Convergente     1.5820            267.44              174.30                0.9331
293     Convergente     1.5840            267.79              174.57                0.9330
294     Convergente     1.5860            268.14              174.85                0.9329
295     Convergente     1.5880            268.49              175.12                0.9328
296     Convergente     1.5900            268.83              175.39                0.9327
297     Convergente     1.5920            269.18              175.66                0.9326
298     Convergente     1.5940            269.53              175.94                0.9325
299     Convergente     1.5960            269.88              176.21                0.9324
300     Convergente     1.5980            270.23              176.48                0.9323
301     Convergente     1.6000            270.58              176.76                0.9322
302     Convergente     1.6020            270.93              177.03                0.9321
303     Convergente     1.6040            271.28              177.30                0.9320
304     Convergente     1.6060            271.63              177.58                0.9319
305     Convergente     1.6080            271.98              177.85                0.9318
306     Convergente     1.6100            272.33              178.13                0.9317
307     Convergente     1.6120            272.68              178.40                0.9316
308     Convergente     1.6140            273.03              178.67                0.9315
309     Convergente     1.6160            273.38              178.95                0.9314
310     Convergente     1.6180            273.73              179.22                0.9313
311     Convergente     1.6200            274.08              179.50                0.9312
312     Convergente     1.6220            274.43              179.77                0.9311
313     Convergente     1.6240            274.78              180.05                0.9310
314     Convergente     1.6260            275.13              180.32                0.9309
315     Convergente     1.6280            275.48              180.60                0.9308
316     Convergente     1.6300            275.83              180.87                0.9307
317     Convergente     1.6320            276.18              181.15                0.9306
318     Convergente     1.6340            276.53              181.42                0.9305
319     Convergente     1.6360            276.88              181.70                0.9304
320     Convergente     1.6380            277.23              181.97                0.9303
321     Convergente     1.6400            277.58              182.25                0.9302
322     Convergente     1.6420            277.93              182.52                0.9301
323     Convergente     1.6440            278.28              182.80                0.9300
324     Convergente     1.6460            278.63              183.08                0.9299
325     Convergente     1.6480            278.98              183.35                0.9298
326     Convergente     1.6500            279.33              183.63                0.9297
327     Convergente     1.6520            279.68              183.90                0.9296
328     Convergente     1.6540            280.03              184.18                0.9295
329     Convergente     1.6560            280.38              184.46                0.9294
330     Convergente     1.6580            280.73              184.73                0.9293
331     Convergente     1.6600            281.08              185.01                0.9292
332     Convergente     1.6620            281.43              185.29                0.9291
333     Convergente     1.6640            281.78              185.56                0.9290
334     Convergente     1.6660            282.14              185.84                0.9289
335     Convergente     1.6680            282.49              186.12                0.9288
336     Convergente     1.6700            282.84              186.39                0.9287
337     Convergente     1.6720            283.19              186.67                0.9286
338     Convergente     1.6740            283.54              186.95                0.9285
339     Convergente     1.6760            283.89              187.23                0.9284
340     Convergente     1.6780            284.24              187.50                0.9283
341     Convergente     1.6800            284.59              187.78                0.9282
342     Convergente     1.6820            284.94              188.06                0.9281
343     Convergente     1.6840            285.29              188.34                0.9280
344     Convergente     1.6860            285.64              188.62                0.9279
345     Convergente     1.6880            285.99              188.89                0.9278
346     Convergente     1.6900            286.35              189.17                0.9277
347     Convergente     1.6920            286.70              189.45                0.9276
348     Convergente     1.6940            287.05              189.73                0.9275
349     Convergente     1.6960            287.40              190.01                0.9274
350     Convergente     1.6980            287.75              190.29                0.9273
351     Convergente     1.7000            288.10              190.57                0.9272
352     Convergente     1.7020            288.45              190.85                0.9271
353     Convergente     1.7040            288.80              191.12                0.9270
354     Convergente     1.7060            289.15              191.40                0.9269
355     Convergente     1.7080            289.51              191.68                0.9268
356     Convergente     1.7100            289.86              191.96                0.9267
357     Convergente     1.7120            290.21              192.24                0.9266
358     Convergente     1.7140            290.56              192.52                0.9265
359     Convergente     1.7160            290.91              192.80                0.9264
360     Convergente     1.7180            291.26              193.08                0.9263
361     Convergente     1.7200            291.61              193.36                0.9262
362     Convergente     1.7220            291.97              193.64                0.9261
363     Convergente     1.7240            292.32              193.92                0.9260
364     Convergente     1.7260            292.67              194.20                0.9259
365     Convergente     1.7280            293.02              194.48                0.9258
366     Convergente     1.7300            293.37              194.76                0.9257
367     Convergente     1.7320            293.72              195.04                0.9256
368     Convergente     1.7340            294.08              195.32                0.9255
369     Convergente     1.7360            294.43              195.60                0.9254
370     Convergente     1.7380            294.78              195.89                0.9253
371     Convergente     1.7400            295.13              196.17                0.9252
372     Convergente     1.7420            295.48              196.45                0.9251
373     Convergente     1.7440            295.84              196.73                0.9250
374     Convergente     1.7460            296.19              197.01                0.9249
375     Convergente     1.7480            296.54              197.29                0.9248
376     Convergente     1.7500            296.89              197.57                0.9247
377     Convergente     1.7520            297.24              197.86                0.9246
378     Convergente     1.7540            297.60              198.14                0.9245
379     Convergente     1.7560            297.95              198.42                0.9244
380     Convergente     1.7580            298.30              198.70                0.9243
381     Convergente     1.7600            298.65              198.98                0.9242
382     Convergente     1.7620            299.01              199.27                0.9241
383     Convergente     1.7640            299.36              199.55                0.9240
384     Convergente     1.7660            299.71              199.83                0.9239
385     Convergente     1.7680            300.06              200.11                0.9238
386     Convergente     1.7700            300.41              200.40                0.9237
387     Convergente     1.7720            300.77              200.68                0.9236
388     Convergente     1.7740            301.12              200.96                0.9235
389     Convergente     1.7760            301.47              201.24                0.9234
390     Convergente     1.7780            301.82              201.53                0.9232
391     Convergente     1.7800            302.18              201.81                0.9231
392     Convergente     1.7820            302.53              202.09                0.9230
393     Convergente     1.7840            302.88              202.38                0.9229
394     Convergente     1.7860            303.24              202.66                0.9228
395     Convergente     1.7880            303.59              202.95                0.9227
396     Convergente     1.7900            303.94              203.23                0.9226
397     Convergente     1.7920            304.29              203.51                0.9225
398     Convergente     1.7940            304.65              203.80                0.9224
399     Convergente     1.7960            305.00              204.08                0.9223
400     Convergente     1.7980            305.35              204.37                0.9222
401     Convergente     1.8000            305.70              204.65                0.9221
402     Convergente     1.8020            306.06              204.94                0.9220
403     Convergente     1.8040            306.41              205.22                0.9219
404     Convergente     1.8060            306.76              205.51                0.9218
405     Convergente     1.8080            307.12              205.79                0.9217
406     Convergente     1.8100            307.47              206.07                0.9216
407     Convergente     1.8120            307.82              206.36                0.9215
408     Convergente     1.8140            308.18              206.65                0.9214
409     Convergente     1.8160            308.53              206.93                0.9213
410     Convergente     1.8180            308.88              207.22                0.9212
411     Convergente     1.8200            309.24              207.50                0.9211
412     Convergente     1.8220            309.59              207.79                0.9210
413     Convergente     1.8240            309.94              208.07                0.9209
414     Convergente     1.8260            310.30              208.36                0.9208
415     Convergente     1.8280            310.65              208.65                0.9207
416     Convergente     1.8300            311.00              208.93                0.9206
417     Convergente     1.8320            311.36              209.22                0.9205
418     Convergente     1.8340            311.71              209.50                0.9204
419     Convergente     1.8360            312.06              209.79                0.9203
420     Convergente     1.8380            312.42              210.08                0.9202
421     Convergente     1.8400            312.77              210.36                0.9201
422     Convergente     1.8420            313.12              210.65                0.9200
423     Convergente     1.8440            313.48              210.94                0.9199
424     Convergente     1.8460            313.83              211.23                0.9197
425     Convergente     1.8480            314.19              211.51                0.9196
426     Convergente     1.8500            314.54              211.80                0.9195
427     Convergente     1.8520            314.89              212.09                0.9194
428     Convergente     1.8540            315.25              212.37                0.9193
429     Convergente     1.8560            315.60              212.66                0.9192
430     Convergente     1.8580            315.96              212.95                0.9191
431     Convergente     1.8600            316.31              213.24                0.9190
432     Convergente     1.8620            316.66              213.53                0.9189
433     Convergente     1.8640            317.02              213.81                0.9188
434     Convergente     1.8660            317.37              214.10                0.9187
435     Convergente     1.8680            317.73              214.39                0.9186
436     Convergente     1.8700            318.08              214.68                0.9185
437     Convergente     1.8720            318.43              214.97                0.9184
438     Convergente     1.8740            318.79              215.26                0.9183
439     Convergente     1.8760            319.14              215.55                0.9182
440     Convergente     1.8780            319.50              215.83                0.9181
441     Convergente     1.8800            319.85              216.12                0.9180
442     Convergente     1.8820            320.21              216.41                0.9179
443     Convergente     1.8840            320.56              216.70                0.9178
444     Convergente     1.8860            320.92              216.99                0.9177
445     Convergente     1.8880            321.27              217.28                0.9176
446     Convergente     1.8900            321.62              217.57                0.9175
447     Convergente     1.8920            321.98              217.86                0.9174
448     Convergente     1.8940            322.33              218.15                0.9173
449     Convergente     1.8960            322.69              218.44                0.9172
450     Convergente     1.8980            323.04              218.73                0.9170
451     Convergente     1.9000            323.40              219.02                0.9169
452     Convergente     1.9020            323.75              219.31                0.9168
453     Convergente     1.9040            324.11              219.60                0.9167
454     Convergente     1.9060            324.46              219.89                0.9166
455     Convergente     1.9080            324.82              220.18                0.9165
456     Convergente     1.9100            325.17              220.47                0.9164
457     Convergente     1.9120            325.53              220.77                0.9163
458     Convergente     1.9140            325.88              221.06                0.9162
459     Convergente     1.9160            326.24              221.35                0.9161
460     Convergente     1.9180            326.59              221.64                0.9160
461     Convergente     1.9200            326.95              221.93                0.9159
462     Convergente     1.9220            327.30              222.22                0.9158
463     Convergente     1.9240            327.66              222.51                0.9157
464     Convergente     1.9260            328.01              222.81                0.9156
465     Convergente     1.9280            328.37              223.10                0.9155
466     Convergente     1.9300            328.72              223.39                0.9154
467     Convergente     1.9320            329.08              223.68                0.9153
468     Convergente     1.9340            329.43              223.97                0.9152
469     Convergente     1.9360            329.79              224.27                0.9151
470     Convergente     1.9380            330.14              224.56                0.9150
471     Convergente     1.9400            330.50              224.85                0.9148
472     Convergente     1.9420            330.86              225.14                0.9147
473     Convergente     1.9440            331.21              225.44                0.9146
474     Convergente     1.9460            331.57              225.73                0.9145
475     Convergente     1.9480            331.92              226.02                0.9144
476     Convergente     1.9500            332.28              226.32                0.9143
477     Convergente     1.9520            332.63              226.61                0.9142
478     Convergente     1.9540            332.99              226.90                0.9141
479     Convergente     1.9560            333.35              227.20                0.9140
480     Convergente     1.9580            333.70              227.49                0.9139
481     Convergente     1.9600            334.06              227.78                0.9138
482     Convergente     1.9620            334.41              228.08                0.9137
483     Convergente     1.9640            334.77              228.37                0.9136
484     Convergente     1.9660            335.12              228.67                0.9135
485     Convergente     1.9680            335.48              228.96                0.9134
486     Convergente     1.9700            335.84              229.26                0.9133
487     Convergente     1.9720            336.19              229.55                0.9132
488     Convergente     1.9740            336.55              229.84                0.9131
489     Convergente     1.9760            336.90              230.14                0.9130
490     Convergente     1.9780            337.26              230.43                0.9128
491     Convergente     1.9800            337.62              230.73                0.9127
492     Convergente     1.9820            337.97              231.02                0.9126
493     Convergente     1.9840            338.33              231.32                0.9125
