
================================================================================
RELATORIO DE ANALISE DE ESTABILIDADE DE TENSAO (SIMULADOR PYTHON)
SISTEMA: IEEE 118 BARRAS
DATA: 20/11/2025 19:20:51
================================================================================

RESUMO DO PONTO DE COLAPSO
--------------------------
Fator de Escala Final (Lambda): 3.1870
Carregamento Total do Sistema : 13519.35 MW
Tensao Minima do Sistema      : 0.6993 pu (Barra 43)

ESTADO DAS BARRAS
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar) | TIPO
151     | 99      | 103     | 205.19    | 18.26       | 2.0
129     | 88      | 91      | 202.71    | -8.83       | 2.0
66      | 48      | 50      | 196.15    | 51.55       | 2.0
84      | 58      | 60      | -182.75   | 61.82       | 2.0
125     | 88      | 89      | 195.77    | -7.62       | 2.0
115     | 78      | 79      | -182.80   | -38.99      | 1.9
142     | 93      | 99      | 47.01     | -168.39     | 1.9
100     | 69      | 70      | 179.02    | -30.26      | 1.9
26      | 20      | 21      | -133.34   | 43.66       | 1.8
155     | 103     | 104     | 172.16    | -23.90      | 1.8
58      | 45      | 46      | -129.70   | 110.28      | 1.7
83      | 58      | 59      | -155.26   | 52.44       | 1.7
131     | 91      | 92      | 162.19    | 28.76       | 1.7
102     | 70      | 71      | 156.80    | -15.84      | 1.6
47      | 36      | 38      | 150.11    | -19.25      | 1.6
65      | 48      | 49      | 159.42    | 21.59       | 1.6
95      | 65      | 66      | 161.80    | 29.82       | 1.6
122     | 84      | 87      | -133.70   | 69.83       | 1.6
153     | 102     | 104     | 149.77    | -4.24       | 1.5
132     | 91      | 93      | 144.98    | 15.17       | 1.5
82      | 54      | 58      | -133.25   | 35.90       | 1.5
25      | 19      | 20      | -84.89    | 85.53       | 1.5
171     | 74      | 117     | 127.50    | -22.86      | 1.4
1       | 0       | 2       | -122.39   | 56.56       | 1.4
148     | 91      | 101     | 138.60    | 18.25       | 1.4
99      | 23      | 69      | -133.91   | 39.20       | 1.4
139     | 79      | 97      | 143.89    | 22.28       | 1.4
60      | 46      | 48      | -12.62    | -130.34     | 1.4
43      | 34      | 36      | -108.80   | 78.69       | 1.4
138     | 79      | 96      | 119.13    | 79.51       | 1.4
54      | 42      | 43      | -80.17    | 71.60       | 1.4
48      | 36      | 39      | 116.71    | -42.39      | 1.3
64      | 47      | 48      | -131.61   | 1.26        | 1.3
79      | 53      | 58      | -120.84   | 31.91       | 1.3
133     | 92      | 93      | 116.79    | -15.06      | 1.3
38      | 30      | 31      | -112.07   | 45.10       | 1.3
81      | 55      | 58      | -109.93   | 42.53       | 1.3
149     | 100     | 101     | -116.39   | 15.77       | 1.3
116     | 76      | 81      | 75.96     | 90.78       | 1.2
134     | 93      | 94      | 89.76     | 68.38       | 1.2
55      | 33      | 42      | -16.87    | 114.66      | 1.2
14      | 10      | 12      | 110.28    | 35.68       | 1.2
5       | 5       | 6       | 118.75    | -12.83      | 1.2
80      | 55      | 58      | -105.18   | 39.64       | 1.2
114     | 76      | 79      | -119.32   | 7.13        | 1.2
163     | 109     | 110     | -111.64   | 28.29       | 1.2
23      | 18      | 19      | -24.06    | 108.73      | 1.2
110     | 74      | 76      | -106.79   | -3.43       | 1.2
165     | 16      | 112     | -13.18    | -112.08     | 1.2
31      | 26      | 27      | 110.96    | 9.15        | 1.2
119     | 82      | 84      | -100.65   | -11.87      | 1.1
101     | 23      | 71      | -101.05   | 41.65       | 1.1
135     | 79      | 95      | 95.13     | 61.71       | 1.1
152     | 102     | 103     | 112.40    | -0.09       | 1.1
42      | 34      | 35      | 3.63      | -107.37     | 1.1
11      | 1       | 11      | -104.47   | -17.71      | 1.1
140     | 79      | 98      | 115.12    | -0.16       | 1.1
70      | 48      | 53      | 112.33    | 10.49       | 1.1
117     | 81      | 82      | -95.72    | 21.28       | 1.1
93      | 61      | 65      | -108.18   | 10.25       | 1.1
71      | 48      | 53      | 110.76    | 5.54        | 1.1
120     | 83      | 84      | -98.00    | -17.77      | 1.1
53      | 40      | 41      | -98.76    | 8.92        | 1.1
50      | 38      | 39      | 55.80     | -79.21      | 1.1
87      | 60      | 61      | 99.54     | -28.13      | 1.1
141     | 91      | 99      | 99.41     | -17.39      | 1.0
76      | 49      | 56      | 98.65     | -7.84       | 1.0
45      | 33      | 35      | 96.30     | -15.46      | 1.0
157     | 104     | 106     | 91.68     | -12.87      | 1.0
67      | 50      | 51      | 83.04     | 8.69        | 0.9
159     | 105     | 106     | 76.90     | -34.12      | 0.9
172     | 75      | 117     | -18.01    | 82.87       | 0.9
158     | 104     | 107     | 83.62     | -18.84      | 0.9
156     | 104     | 105     | 32.88     | 76.32       | 0.9
105     | 69      | 74      | -41.23    | 69.73       | 0.9
147     | 99      | 100     | -44.42    | 68.90       | 0.8
160     | 107     | 108     | 75.19     | -25.85      | 0.8
144     | 95      | 96      | -66.68    | -31.71      | 0.8
69      | 52      | 53      | -49.77    | -44.71      | 0.8
112     | 77      | 78      | -58.20    | 44.70       | 0.8
52      | 39      | 41      | -69.48    | 16.36       | 0.8
170     | 11      | 116     | 65.51     | 29.75       | 0.7
59      | 45      | 47      | -64.89    | 25.95       | 0.7
22      | 17      | 18      | 67.04     | 7.08        | 0.7
94      | 61      | 66      | -65.83    | 17.10       | 0.7
168     | 26      | 114     | 62.72     | 15.44       | 0.7
118     | 82      | 83      | -60.13    | 8.28        | 0.7
143     | 94      | 95      | -46.09    | -36.10      | 0.7
75      | 55      | 56      | -54.05    | 30.13       | 0.7
162     | 108     | 109     | 48.97     | -36.69      | 0.6
20      | 15      | 16      | -58.32    | 11.73       | 0.6
32      | 27      | 28      | 54.25     | -22.52      | 0.6
13      | 6       | 11      | 57.53     | -21.69      | 0.6
44      | 32      | 36      | -56.11    | 3.58        | 0.6
78      | 50      | 57      | 39.82     | -33.36      | 0.6
15      | 11      | 13      | 56.76     | 1.43        | 0.6
121     | 84      | 85      | 55.55     | 6.51        | 0.6
74      | 54      | 55      | -49.95    | 3.58        | 0.5
18      | 11      | 15      | 21.89     | 43.70       | 0.5
73      | 53      | 55      | 48.73     | -4.24       | 0.5
77      | 55      | 57      | 0.03      | 43.91       | 0.5
51      | 39      | 40      | 19.48     | 40.75       | 0.5
36      | 28      | 30      | -23.15    | -36.75      | 0.5
166     | 31      | 112     | 34.71     | -25.30      | 0.5
0       | 0       | 1       | -40.15    | 10.57       | 0.4
167     | 31      | 113     | 33.84     | 17.20       | 0.4
40      | 14      | 32      | 17.75     | 31.23       | 0.4
145     | 97      | 99      | 30.85     | -21.50      | 0.4
12      | 2       | 11      | -31.92    | -16.28      | 0.4
130     | 90      | 91      | -35.43    | 2.39        | 0.4
24      | 14      | 18      | 32.40     | 9.53        | 0.4
39      | 26      | 31      | 32.49     | -3.90       | 0.3
103     | 70      | 72      | 19.21     | -25.65      | 0.3
35      | 16      | 30      | 26.49     | -15.46      | 0.3
86      | 59      | 61      | -27.15    | -15.23      | 0.3
68      | 51      | 52      | 23.89     | -11.31      | 0.3
16      | 12      | 14      | -1.34     | -24.36      | 0.3
104     | 69      | 73      | 19.60     | 11.94       | 0.3
146     | 98      | 99      | -24.30    | -4.20       | 0.2
41      | 18      | 33      | -20.60    | -4.70       | 0.2
137     | 93      | 95      | 15.37     | 8.41        | 0.2
72      | 53      | 54      | 17.65     | -0.97       | 0.2
169     | 113     | 114     | 8.13      | 8.15        | 0.1
17      | 13      | 14      | 11.43     | -2.33       | 0.1
127     | 89      | 90      | -3.54     | 5.94        | 0.1
136     | 81      | 95      | -4.78     | -5.19       | 0.1

================================================================================
FIM DO RELATORIO
================================================================================
